id1,nachname,vorname,jahr,titel,stoffklasse,cluster,historie_stellenwert_skala,anteil_hist_clean,n_pre19,n_hist_quellen,n_personen
1893-DISS-OO,Oesterle,Otto,1893,Pharmakognostische Studien über Gutta-Percha,Gummi,B,2,0.10,0,0,2
1894-DISS-BA,Baur,Alfred,1894,Über das Burseraceen - Opoponax,Gummiharze,B,2,0.08,1,0,2
1897-DISS-HK,Hildebrand,Karl,1897,Ueber das gelbe und rote Xanthorrhoea (Akaroid)Harz.,Harze,B,2,0.19,0,0,1
1903-DISS-WL,Weil,Leopold,1903,Ueber den Gurjunbalsam,Balsame,B,2,0.10,0,1,5
1916-DISS-HF,Hebeisen,Fritz,1916,"Vergleichende Untersuchungen über die Wertbestimmungsmethoden der Drogen durchgeführt an Cortex Cinchonae, Semen Arecae und den Anthrachinondrogen",Alkaloide und Glykoside,B,2,0.04,1,0,8
1922-DISS-HE,Hermann,Einar Sverre,1922,Ueber den Gedanit,Harze,B,2,0.11,1,0,5
1929-DISS-SO,Steenseth,Ove Andreas,1929,"Zur Kenntnis der Autoxydation bei Kolophonium, Mastix und Sandarak",Harze,B,2,0.04,1,0,7
1895-DISS-HM,Hohenadel,Max,1895,Pharmacognostische Studien über das Sagapenum,Gummiharze,C,2,0.13,3,2,11
1895-DISS-LH,Luz,Heinrich,1895,Ueber das Ammoniacum,Gummiharze,C,2,0.03,2,1,4
1895-DISS-CO,Chimani,Otto,1896,Untersuchungen über Bau und Anordnung der Milchröhren unter besonderer Berücksichtigung der Guttapercha u. Kautschuk liefernden Pflanzen.,Gummi,C,2,0.30,2,1,5
1898-DISS-PG,Pedersen,Gullow,1898,Studien über Aloë,Anthrachinon-Drogen,C,2,0.19,3,2,16
1899-DISS-KA,Knitl,Alois,1899,Über das Umbelliferen-Opopanax.,Gummiharze,C,2,0.08,2,0,4
1900-DISS-PR,Polacco,Ruggero,1900,Studien über Fructus rhamni catharticae,Anthrachinon-Drogen,C,2,0.19,2,2,8
1900-DISS-WG,Weigel,Georg,1900,Über die Harzbalsame,Balsame,C,2,0.19,1,2,13
1901-DISS-VL,van Itallie,Leopold,1901,Ueber den orientalischen und den amerikanischen Styrax. (von Liquidambar orientalis u. Liquidambar styraciflua),Balsame,C,2,0.13,3,1,1
1903-DISS-EP,Eijken,Peter Anton August Frederik,1903,Untersuchungen von in Bern cultivierten Rhabarberrhizomen (Rheum palmatum & tanguitcum und Rheum officinale Baillon).,Anthrachinon-Drogen,C,2,0.06,5,3,11
1904-DISS-RL,Reutter,Louis,1904,"Ueber Mastix, Caricari-Elemi und über verschiedene Gräberharze aus Karthago.",Harze,C,2,0.19,3,1,8
1905-DISS-HR,Hoffbauer,Richard,1905,Beiträge zur Kenntnis der Aloe.,Anthrachinon-Drogen,C,2,0.38,1,3,13
1906-DISS-BW,Bergmann,Wilhelm,1906,Über die Heerabol-Myrrha,Gummiharze,C,2,0.16,1,2,6
1907-DISS-EJ,Edner,Johann Adol,1907,Über den englischen und französischen Rhabarber und eine Methode der Wertbestimmung des Rhabarber,Anthrachinon-Drogen,C,2,0.07,3,2,11
1907-DISS-LK,Leuchtenberger,Karl,1907,Über ein falsches Euphorbium und das Harz von Pinus Jeffreyi Murr.,Gummiharze,C,2,0.10,2,1,6
1908-DISS_PJ,Pool,Jacobus Frédéric Amédée,1908,Vergleichend-pharmakochemische Untersuchung der Rinden von Rhamnus Frangula L. und Rhamnus Purshiana DC,Anthrachinon-Drogen,C,2,0.07,2,0,7
1927-DISS-RH,Rosenthal,Hermann,1927,Beiträge zur Kenntnis des Perubalsams,Balsame,C,2,0.14,2,3,14
1897-DISS-PJ,Polàšek,Josef,1897,Über Asa Foetida,Gummiharze,D,3,0.20,2,4,16
1898-DISS-HO,Halbey,Oscar,1898,Über das Olibanum,Gummiharze,D,3,0.16,2,6,10
1900-DISS-HE,Hiepe,Eduard,1900,Studien über die Senna,Anthrachinon-Drogen,D,3,0.45,3,3,15
1900-DISS-LM,Lewinthal,Moritz,1900,Über das Gummigutti.,Gummiharze,D,3,0.23,2,1,8
1902-DISS-CJ,Cremer,Joachim,1902,Studien über Elemi.,Harze,D,3,0.14,3,2,15
1902-DISS-HK,Heuberger,Karl,1902,Untersuchungen über den chinesischen Rhabarber.,Anthrachinon-Drogen,D,3,0.19,4,3,20
1903-DISS-SB,Studer,Bernhard,1903,Über das amerikanische Colophonium,Harze,D,3,0.16,2,2,17
1905-DISS-CU,Cristofoletti,Ugo,1905,Studien über Rheum rhaponticum.,Anthrachinon-Drogen,D,3,0.11,3,2,14
1905-DISS-PW,Paul,Walter,1905,Studien über das Euphorbium.,Gummiharze,D,3,0.30,3,2,18
1906-DISS-WM,Wolff,Max,1906,Studien über das Sandarakharz.,Harze,D,3,0.25,3,5,25
1907-DISS-AB,Augustin,Béla,1907,Historisch-kritische und anatomisch-entwicklungsgeschichtliche Untersuchungen über den Paprika.,Gewürze und Genussmittel,D,3,0.16,2,2,5
1912-DISS-EE,Emmanuel,Emmanuel J.,1912,Über das kretische Ladanum und über den Harzbalsam von Abies cephalonica,Balsame,D,3,0.14,5,5,40
1913-DISS-RM,Ruszkowski,Mieczyslaw,1913,Über einen neuen Rhabarber vom Altai,Anthrachinon-Drogen,D,3,0.18,4,3,19
