id1,nachname,vorname,herkunftsort,herkunftsland,titel,fach,methoden_typ,spache,untersuchungsgegenstand,stoffklasse,jahr,uni,signatur,gefunden,fundort,sonderdruck,digitalisat,bork,hoermann,ledermann,historische_einleitung_ledermann,historische_einleitung_vorhanden,fokus_historischer_teil,thema_historischer_teil,zustand,provenienz_spuren,tschirch_betreuung,andere_betreuer,sprachregister,seiten_gesamt,seiten_historisch,anteil_historisch,vorkommende_epochen,wichtige_historische_personen_im_text,zaesuren_zeitkontext,quellen_primaer,quellen_sekundaer,zitiert_tschirch,tschirch_werke,abschnitte_handbuch,quellentypen,historie_stellenwert,historie_stellenwert_skala,narrative_form,wozu_dient_geschichte,Created time,Last modified time
1897-DISS-GG,Glimmann,Gustav,Hannover,Deutsches Reich,Über das Dammaraharz.,Pharmakognosie,deskriptiv-analytisch,de,Dammaraharz,Harze,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Entdeckung, Beschreibung und Untersuchung des Dammaraharz","gut,leicht vergilbt",,true,,wertend-positiv,34,6,0.17647058823529413,Frühe Neuzeit,Georg Eberhard Rumphius,Hochimperialismus,,,true,Indische Heil- und Nutzpflanzen und deren Cultur,,"Fachliteratur,Fachzeitschriften,Jahresberichte",dient nur der Namensherleitung,1,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 08:52:01+00:00
1897-DISS-GH,Germann,Hans,Zürich,Schweizerische Eidgenossenschaft,Pharmacognostische Studien über die Früchte von Myroxylon Pereirae,Pharmakognosie,experimentell,de,Perubalsam,Balsame,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,bisherige Untersuchungen der Früchte von Myroxylon Pereirae,"gut,vergilbt",,true,,deskriptiv-neutral,37,7,0.1891891891891892,Mitte 19. Jahrhundert,"Robert Bentley,Henry Trimen,Jonathan Pereira",Hochimperialismus,,,,,,,"einleitend eingesetzt, um die Untersuchung einzuleiten",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-07 16:49:12+00:00
1897-DISS-HK,Hildebrand,Karl,Echzell (in Hessen),Deutsches Reich,Ueber das gelbe und rote Xanthorrhoea (Akaroid)Harz.,Pharmakognosie,deskriptiv-analytisch,de,Xanthorrhoeaharz,Harze,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Herkunft, Gewinnung und Untersuchung des Xanthorrhoea Harzes.","gut,leicht vergilbt",,true,,deskriptiv-neutral,64,12,0.1875,"Übergang 19. Jahrhundert,Gesamtes 19. Jahrhundert",Johann Bartholomäus Trommsdorff,Hochimperialismus,,,true,Publikation,,"Jahresberichte,Fachzeitschriften,Handbuch","leitet die Forschung ein, geht sehr chronologisch vor und läuft chronologisch auf Gegenwart zu, wird wert auf die zeitliche Einordnung gelegt",2,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 08:55:08+00:00
1897-DISS-MM,Merz,Mathias,unbekannt,unbekannt,Untersuchungen über Anatomie und Samenentwicklung der Utricularien und Pinguicula,Pharmakoanatomie,,de,,,1897,Universität Bern,BeM ZB Diss var 1646,true,Speichermagazin,false,false,false,false,true,false,false,,,"gut,leicht vergilbt",,true,,,54,0,0,,,,,,false,,,,,0,,,2026-02-23 14:26:06+00:00,2026-03-27 11:38:49+00:00
1897-DISS-NP,Nottberg,Peter,Elberfeld,Deutsches Reich,Experimental-Untersuchungen über die Entstehung der Harzgallen und verwandter Gebilde bei unseren Abietineen.,Pharmakognosie,experimentell,de,Abietineen,Systematische Gruppen,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Suche nach Geschichte der Harzgalle (vergeblich),"gut,leicht vergilbt",,true,,deskriptiv-neutral,52,1,0.019230769230769232,Mitte 19. Jahrhundert,,Hochimperialismus,,,,,,Fachliteratur,"nur kurz Namensherleitung, wird auf Jahreszahlen eingegangen, aber nicht wirklich historischer Fokus",1,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-07 14:13:15+00:00
1897-DISS-PJ,Polàšek,Josef,Strassnitz (in Mähren),Österreich-Ungarn,Über Asa Foetida,Pharmakognosie,deskriptiv-analytisch,de,Asa Foetida,Gummiharze,1897,Universität Bern,PH D 358 P,true,IMG,,,true,false,true,,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte","Herkunft, Etymologie, Gewinnung, Verwendung und Untersuchung des Gummiharzes Asa foetida.","gut,leicht vergilbt",,true,,autoritativ-kanonisch,60,12,0.2,"Mitte 19. Jahrhundert,Altertum,Frühe Neuzeit","Pedanios Dioskurides,Theophrastos von Eresos,Rhazes,Hubayš ibn al-Ḥasan al-Aʿsam al-Dimašqī ,Avicenna,Nicolaus Myrepsus,al-Istachrī,Muhammad al-Idrisi,Constantinus Africanus,Platearius,Michael Bernhard Valentini,Georg Franck von Franckenau,Johann Schröder,Engelbert Kaempfer,Hugh Falconer,William Dymock",Hochimperialismus,"Historia plantarum (Theophrastos von Eresos),Antidotarius,Museum Museorum (Valentini),Liber de simplici medicia (Schule von Salerno),Flora fancica aucta (Franciscus von Frankenau),Arzney-Schatz (Schröder)","Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),Geschichte der Botanik (Mayer),Geschichte der Medizin (Sprengel),Géographie d'Edrisi (Übersetzung durch Jaubert)",true,Publikation,,"Fachzeitschriften,Historische Wissensliteratur,Historische Sekundärquellen,Antidotarius,Arzneibuch,Handwörterbuch,Jahresberichte","sehr präsent, sowohl für Namensherleitung als auch Beschreibung, als auch Verwendung, geht auf verschiedenste Epochen ein bis weit zurück, führt viele Namen auf, auch verschiedene geographische Bezüge",3,"personenzentriert,thematisch-systematisch","kontextualisierend,legitimierend,kanonbildend",2026-02-23 11:57:39+00:00,2026-04-08 14:51:12+00:00
1897-DISS-PP,Pfaefflin,Paul,Lorch (Württbg.),Deutsches Reich,"Untersuchungen über Entwicklungsgeschichte, Bau und Function der Nabelspalte und der darunter liegenden Tracheïden-Insel verschiedener practisch wichtiger Papilionaceen-Samen.",Pharmakognosie,anatomisch-morphologisch,de,Papilionaceen,Systematische Gruppen,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Untersuchungen des anatomischen Baus der Samenschalen der Leguminosen,gut,,true,,wertend-positiv,58,2,0.034482758620689655,"Frühe Neuzeit,Mitte 19. Jahrhundert","Marcello Malpighi,Nathanael Pringsheim",Hochimperialismus,Anatome plantarum (Malpighi),,true,"Publikation,Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde",,"Historische Wissensliteratur,Fachliteratur,Dissertationen",einleitende Funktion mit Fokus auf Malpighi,1,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 14:25:32+00:00
1897-DISS-SA,Schad,Adolf,Pforzheim,Deutsches Reich,Entwicklungsgeschichtliche Untersuchungen über den Malabar Cardamomen und vergleichend anatomische Studien über die Samen einiger anderer Amomum- und Elettariaarten.,Pharmakognosie,vergleichend,de,Cardamomum,Gewürze und Genussmittel,1897,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte","Herkunft, Etymologie, Verwendung, Kultur und Handel über Malabar Cardamomen","gut,leicht vergilbt",,true,,wertend-positiv,61,3,0.04918032786885246,"Mitte 19. Jahrhundert,Frühe Neuzeit,Anfang 19. Jahrhundert","Tabernaemontanus,Johann Schröder,Michael Bernhard Valentini,Pierre Pomet,Christian Gottfried Daniel Nees von Esenbeck,Theodor Wilhelm Christian Martius,William Dymock",Hochimperialismus,"New vollkommen Kräuterbuch (Tabernaemontanus),Arzney-Schatz (Schröder),Museum Museorum (Valentini),Histoire generale des Droqgues simples et composées (Pomet)","Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),Histoire nautrelles des Drogues simples (Guibourt),Pharmakographia a history of drugs (Flückiger und Hanbury)",true,"Indische Heil- und Nutzpflanzen und deren Cultur,Publikation,Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde",,"Fachzeitschriften,Jahresberichte,Arzneibuch,Historische Sekundärquellen,Fachliteratur,Handbuch,Wissenschaftliche Berichte","aufzählung von Personen und Werken, wo Cardamomen erwähnt wird, auch auf historische Darstellungen wird eingegangen, aber auch hier nur eine Auflistung",1,personenzentriert,"kanonbildend,legitimierend,kontextualisierend",2026-02-23 11:57:39+00:00,2026-04-09 14:27:58+00:00
1898-DISS-BR,Biermann,Rudolf,Bünde (in Westfalen),Deutsches Reich,Über Bau und Entwicklungsgeschichte der Ölzellen und die Ölbildung in ihnen.,Pharmakognosie,,de,,,1898,Universität Bern,PH D 169 P,true,IMG,,,true,true,true,,,,,"gut,leicht vergilbt",ex libris A. Tschirch,true,,,80,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:32:59+00:00
1898-DISS-HO,Halbey,Oscar,Wetzlar,Deutsches Reich,Über das Olibanum,Pharmakognosie,deskriptiv-analytisch,de,Olibanum,Gummiharze,1898,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte","Herkunft, Entdeckung, Verwendung des Weihrauchs bis zurück ins Altertum, übers Mittelalter hin zur damaligen Gegenwart","gut,leicht vergilbt",,true,,"wertend-positiv,autoritativ-kanonisch",67,11,0.16417910447761194,"Altertum,Frühe Neuzeit,Mitte 19. Jahrhundert","Theophrastos von Eresos,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Tabernaemontanus,Johann Schröder,Christoph Wirsung,Michael Bernhard Valentini,Henry John Carter,Johann Ernst Baer,Henri Braconnot",Hochimperialismus,"Materia medica (Dioskurides),New vollkommen Kräuterbuch (Tabernaemontanus),Arzney-Schatz (Schröder),New Arzneyenbuch (Wirsung),Museum Museorum (Valentini),Pharmacopoea Wirtenbergica,Experimenta chemica cum Gummi-Resinis nonnullis instituta (Baer)","Pharmakographia a history of drugs (Flückiger und Hanbury),Zeitschrift für ägyptische Sprache und Altertumskunde,Die Flotte einer ägyptischen Königin (Dümichen),Geschichte der Pharmacie (Berendes),Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger)",,,,"Historische Sekundärquellen,Historische Zeitschrift,Historische Wissensliteratur,Wissenschaftliche Berichte,Kräuterbuch,Arzneibuch,Pharmakopöe,Dissertationen,Reiseberichte,Jahresberichte","ganze Einleitung historisch, sowohl allgemein pharmaziegeschichtlich, als auch botanisch, als auch chemisch",3,"thematisch-systematisch,personenzentriert","kontextualisierend,legitimierend,kanonbildend",2026-02-23 11:57:39+00:00,2026-04-08 15:01:45+00:00
1898-DISS-PG,Pedersen,Gullow,Moss (Norwegen),Königreich Norwegen,Studien über Aloë,Pharmakognosie,deskriptiv-analytisch,de,Aloe,Anthrachinon-Drogen,1898,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Herkunft und Verwendung der Aloe,"gut,leicht vergilbt",,true,,wertend-kritisch,69,13,0.18840579710144928,"Frühe Neuzeit,Mittelalter,Frühmittelalter,Mitte 19. Jahrhundert","Muhammad al-Idrisi,Alexander der Grosse,Marco Polo,Aulus Cornelius Celsus,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Scribonius Largus,Pietro Andrea Mattioli,Tomé Pires,Elias von Jerusalem,Alfred der Grosse,Albertus Magnus,Richard Ligon,Henri Braconnot,Johann Bartholomäus Trommsdorff,Edme-Jean Baptiste Bouillon-Lagrange",Hochimperialismus,Kommentar zu Dioskurides (Matthiolus),"Repetorium für die Pharmazie (Buchner),Géographie d'Edrisi (Übersetzung durch Jaubert),Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger)",true,Angewandte Pflanzenanatomie,,"Fachzeitschriften,Historische Wissensliteratur,Handbuch,Historische Sekundärquellen,Dissertationen,Jahresberichte,Handwörterbuch,Wissenschaftliche Berichte","wird viel Geschichte mit einbezogen, dient der Entdeckung und Beschreibung verschiedener Aloe-Arten, danach wird auf Untersuchungen eingegangen, dort rückt die Geschichte in den Hintergrund",2,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 13:34:48+00:00
1899-DISS-FA,Farner,Alfred,Langenthal,Schweizerische Eidgenossenschaft,Studien über den Stocklack,Pharmakognosie,deskriptiv-analytisch,de,Stocklack,Harze,1899,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Vorkommen, Verwendung, Untersuchung des Stocklacks","gut,leicht vergilbt,Flecken",,true,,wertend-kritisch,69,12,0.17391304347826086,"Mittelalter,Frühe Neuzeit,Gesamtes 19. Jahrhundert","Michael Bernhard Valentini,Christian Gottfried Daniel Nees von Esenbeck,Jöns Jakob Berzelius",Hochimperialismus,"Museum Museorum (Valentini),Theatrum Botanic (Zwinger),Plantae officinales (Esenbeck)",,true,Publikation,,"Fachzeitschriften,Kräuterbuch,Historische Wissensliteratur,Handbuch,Jahresberichte,Wissenschaftliche Berichte,Dissertationen","wird in schon gut eingebettet, nimmt aber einen nicht so viel ein, nach ca. 4 Seiten folgt nur noch eine Auflistung von Untersuchungen, die teilweise schon anfangs des 19. Jahrhunderts stattfanden",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-09 14:29:18+00:00
1899-DISS-KA,Knitl,Alois,Landshut,Deutsches Reich,Über das Umbelliferen-Opopanax.,Pharmakognosie,deskriptiv-analytisch,de,Opopanax,Gummiharze,1899,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,true,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte","Vorkommen, Beschreibung und Untersuchung des Umbelliferen-Opopanax ",gut,,true,,wertend-positiv,72,6,0.08333333333333333,"Altertum,Frühe Neuzeit,Mitte 19. Jahrhundert","Theophrastos von Eresos,Hippokrates von Kos,Pedanios Dioskurides,Johann Ernst Baer",Hochimperialismus,"Pharmacopoea Wirtenbergica,Pharmacopoea Borussica,Experimenta chemica cum Gummi-Resinis nonnullis instituta (Baer)",,true,Publikation,,"Pharmakopöe,Dissertationen,botanisches Systematikwerk,Handwörterbuch,Fachzeitschriften","beschreibt den historischen Wert des Opopanax als Heilmittel und zieht dafür auch Pharmakopöen hinzu, danach Auflistung von Experimenten ohne grosse Einordnung",2,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 13:36:57+00:00
1899-DISS-WA,Will,Alfred,Hanau (a. Main),Deutsches Reich,Beiträge zur Kenntnis von Kern- und Wundholz.,Pharmakognosie,,de,,,1899,Universität Bern,PH D 358 P,true,IMG,,,true,true,true,,,,,gut,,true,,,92,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:33:02+00:00
1900-DISS-BE,Brünig,Eduard,Zittau (Sachsen),Deutsches Reich,"Über die Harzbalsame von Abies canadensis (L.) Miller, Picea vulgaris Link und Pinus Pinaster Solander.",Pharmakognosie,deskriptiv-analytisch,de,"Abies,Pinus,Harzbalsame",Balsame,1900,Universität Bern,PH D 175 P,true,IMG,,,true,true,true,true,true,"Naturwissenschafts-/Disziplingeschichte,Pharmazeutische Chemie-/Technologiegeschichte",Chemische Untersuchung der Harze,"gut,leicht vergilbt",,true,,wertend-positiv,140,4,0.02857142857142857,"Frühe Neuzeit,Gesamtes 19. Jahrhundert","Jöns Jakob Berzelius,Johann Bartholomäus Trommsdorff,Justus von Liebig,Antoine Laurent de Lavoisier",Hochimperialismus,,,true,Die Harze und die Harzbehälter,,"Jahresberichte,Jahrbücher,Fachzeitschriften,Dissertationen","nimmt eine primär einleitende Rolle ein, beschreibt chemische Untersuchungen, kaum historische Einordnungen (nur am Anfang)",1,"chronologisch,teleologisch","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 09:11:34+00:00
1900-DISS-HE,Hiepe,Eduard,Wetzlar,Deutsches Reich,Studien über die Senna,Pharmakognosie,deskriptiv-analytisch,de,Senna,Anthrachinon-Drogen,1900,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,true,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte","Ursprung, Beschreibung und Verwendung von Senna von den Arabern übers Mittelalter","gut,leicht vergilbt",,true,,wertend-kritisch,84,38,0.4523809523809524,"Altertum,Mittelalter,Frühe Neuzeit,Mitte 19. Jahrhundert","Georg Philipp Nenter,Yuhanna ibn Masawaih,Andrea Cesalpino,Pietro Andrea Mattioli,Joseph Pitton de Tournefort,Gabriele Falloppio,Pierre Pomet,Michael Bernhard Valentini,Johann Friedrich Cartheuser,Caspar Neumann,Theodor Wilhelm Christian Martius,Carl von Linné,Peter Forsskål,Gottlieb Wilhelm Bischoff,Edme-Jean Baptiste Bouillon-Lagrange",Hochimperialismus,"Augsburger Herbarius (1496),Lonicerus Kräuterbuch (1604),de platnis (Cesalpino),de simplicibus medicamentis purgantibus (Phallopius),Museum Museorum (Valentini),Fundmenta Materiae medicae (Cartheuser),Chymiae medicae (Neumann),Histoire generale des Droqgues simples et composées (Pomet)",Versuch einer Monographie der Sennesblätter (Martius),true,Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde,,"Kräuterbuch,Historische Wissensliteratur,Historische Sekundärquellen,Jahrbücher,Fachzeitschriften,Monographien,Dissertationen","nimmt sehr viel Raum ein und ist in Text eingebettet, arbeitet mit Zitaten und über verschiedene Epochen hinweg, zitiert auch Personen, die sonst nicht so bekannt sind, arbeitet mit Primärliteratur",3,"personenzentriert,thematisch-systematisch","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 15:51:02+00:00
1900-DISS-KH,Kritzler,Hermann,Hohenlimburg,Deutsches Reich,Mikrochemische Untersuchungen über die Aleuronkörner,Pharmakognosie,mirkochemisch-physikalisch,de,Aleuronkörner,Botanische Pflanzenteile,1900,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Entwicklung der Untersuchung von Aleuronkörner ,gut,,true,,wertend-kritisch,80,5,0.0625,Mitte 19. Jahrhundert,Theodor Hartig,Hochimperialismus,,,true,"Angewandte Pflanzenanatomie,Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde",,"Fachzeitschriften,Jahrbücher,Jahresberichte,Lehrbücher,Wissenschaftliche Berichte",dient lediglich der Einordnung der  werden aber schon Jahreszahlen erwähnt,1,chronologisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 09:43:15+00:00
1900-DISS-LM,Lewinthal,Moritz,Berlin,Deutsches Reich,Über das Gummigutti.,Pharmakognosie,deskriptiv-analytisch,de,Gummigutti,Gummiharze,1900,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,true,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,"Entdeckung, Beschreibung und Untersuchung von Gummigutti","gut,leicht vergilbt",Handschrfit Tschirch,true,,wertend-kritisch,65,15,0.23076923076923078,"Mittelalter,Frühe Neuzeit","Caspar Neumann,Charles de l’Écluse,Johan Andreas Murray,Jacob de Bondt,Carl von Linné,Henri Braconnot,Christoph Heinrich Pfaff,Gilles-François Boulduc",Hochimperialismus,"Chymiae medicae (Neumann),System der Materia medica nach chemischen Principien (Pfaff)",Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),true,"Indische Heil- und Nutzpflanzen und deren Cultur,Die Harze und die Harzbehälter",,"Jahresberichte,Fachzeitschriften,Fachliteratur,Wissenschaftliche Berichte,Historische Wissensliteratur,Lehrbücher","wird sehr vertieft behandelt und auch ausformuliert, ist nicht nur eine Auflistung von Ereignissen",3,"thematisch-systematisch,teleologisch","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 15:15:08+00:00
1900-DISS-PR,Polacco,Ruggero,Triest,Österreich-Ungarn,Studien über Fructus rhamni catharticae,Pharmakognosie,deskriptiv-analytisch,de,Faulbaum,Anthrachinon-Drogen,1900,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Entdeckung und Verwendung der Beeren des Rhamnus cathhartica,"gut,vergilbt",,true,,wertend-kritisch,43,8,0.18604651162790697,"Mittelalter,Frühe Neuzeit,Mitte 19. Jahrhundert","Pedanios Dioskurides,Petrus de Crescentiis,Valerius Cordus,Hieronymus Bock,Pietro Andrea Mattioli,Rembert Dodoens,Matthias de l’Obel,Carl von Linné",Hochimperialismus,"De Plantis (Cordus),Historia rei herbariae (Sprengel)",Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),,,,"Arzneibuch,botanisches Systematikwerk,Historische Wissensliteratur,Fachzeitschriften,Jahresberichte","Anfang ist sehr interessant, da es nordische Geschichte nennt, danach werden bedeutende Personen genannt, allerdings ist es mehr eine Auflistung von Personen, bei Untersuchung wird schon auch Bezug auf die Jahrzahlen und Geschichte genommen",2,"thematisch-systematisch,personenzentriert","kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 13:44:11+00:00
1900-DISS-TO,Tunmann,Otto,Posen,Deutsches Reich,Über die Sekretdrüsen.,Pharmakognosie,deskriptiv-analytisch,de,sonstiges,Sonstige,1900,Universität Bern,PH D 285 P,true,IMG,,,true,true,true,,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Naturwissenschafts-/Disziplingeschichte",Entwicklung der Untersuchung der Sekretdrüsen,gut,,true,,wertend-kritisch,52,3,0.057692307692307696,"Frühe Neuzeit,Mitte 19. Jahrhundert","Augustin Pyrame de Candolle,Jean-Étienne Guettard,Franz von Paula Schrank. Gebauer,Burkard Eble,Anton de Bary",Hochimperialismus,,,true,"Die Harze und die Harzbehälter,Angewandte Pflanzenanatomie",,"Fachliteratur,Historische Wissensliteratur,Wissenschaftliche Berichte,Dissertationen,Denkschrift,Jahresberichte,Lehrbücher","ist insgesamt mehr eine Auflistung von historischen Personen und Arbeiten, wird nicht wirklich Bezug auf Geschichte genommen",1,thematisch-systematisch,kontextualisierend,2026-02-23 11:57:39+00:00,2026-04-08 09:50:48+00:00
1900-DISS-WG,Weigel,Georg,Raschau (i. Sa.),Deutsches Reich,Über die Harzbalsame,Pharmakognosie,deskriptiv-analytisch,de,Harzbalsame,Balsame,1900,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,,true,"Allgemeine Pharmaziegeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Naturwissenschafts-/Disziplingeschichte","Verwendung, Beschreibung und Untersuchung von Harzen",gut,,true,,wertend-positiv,160,30,0.1875,Frühe Neuzeit,"Jöns Jakob Berzelius,Johann Bartholomäus Trommsdorff,Gaius Plinius Secundus Maior,Pedanios Dioskurides,Vitruv,Galenos von Pergamon,Marcus Graecus,Andreas Libavius,Pietro Andrea Mattioli,Valerius Cordus,Johann Winter von Andernach,Christoph Wirsung,Johann Friedrich Gmelin",Hochimperialismus,"Kommentar zu Dioskurides (Matthiolus),Naturalis historia (Plinius),Historiae de plantis (Cordus),Joannis Guintherii medici De medicina veteri et noca (Winter),New Arzneyenbuch (Wirsung),Reformierte Deutsche Apoteck (Ryff)",Lehrbuch der Pharmakognosie des Pflanzenreiches : Naturgeschichte der wichtigeren Arzneistoffe vegetabilischen Ursprunges (Flückiger),true,"Die Harze und die Harzbehälter,Angewandte Pflanzenanatomie",,"Wissenschaftliche Berichte,Fachliteratur,Fachzeitschriften,Handbuch,Jahresberichte,Dissertationen,Historische Wissensliteratur,Arzneibuch","wird in den restlichen Text eingebettet, dient der Beschreibung der Pflanze",2,thematisch-systematisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-09 13:51:39+00:00
1901-DISS-BF,Bochmann,Felix,Neustädtel (Sachsen),Deutsches Reich,Beiträge zur Entwicklungsgeschichte officineller Samen und Früchte,Pharmakognosie,anatomisch-morphologisch,de,sonstiges,Sonstige,1901,Universität Bern,PH D 171 P,true,IMG,,,true,true,true,,true,"Naturwissenschafts-/Disziplingeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",Entwicklung mikroskopischer Untersuchungen und Beschreibung von Samen und Früchten,"gut,leicht vergilbt",Stempel,true,,deskriptiv-neutral,88,11,0.125,Mitte 19. Jahrhundert,Alexandre Brongniart,Hochimperialismus,,,true,"Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde,Publikation",,Literaturverzeichnis,chronologische Aufzählung von fehlender Literatur die Anfang des 19. Jahrhunderts beginnt,1,teleologisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 10:03:50+00:00
1901-DISS-DC,Dye,Clair Albert,Columbus O. (U.S.A),Vereinigte Staaten von Amerika,"Entwicklungsgeschichtliche Untersuchungen über die unterirdischen Organe von Valeriana, Rheum und Inula.",Pharmakognosie,anatomisch-morphologisch,de,Rhabarber,Anthrachinon-Drogen,1901,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,true,true,"Allgemeine Pharmaziegeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte","Chemische und botanisch-anatomische Untersuchung  von Drogen hin zur Entwicklungsgeschichte, die wenig aufgeklärt ist.","gut,leicht vergilbt",,true,,wertend-positiv,87,1,0.011494252873563218,nicht definiert,,Hochimperialismus,,,true,Anatomischer Atlas der Pharmakognosie und Nahrungsmittelkunde,,,"nur kurz einleitend ohne spezifischen Bezug, allgemein zu Heilmitteln",1,teleologisch,"kontextualisierend,legitimierend",2026-02-23 11:57:39+00:00,2026-04-08 10:04:16+00:00
1901-DISS-FE,Faber,Eugen,Vreden,Deutsches Reich,Experimental-Untersuchungen über die Entstehung des Harzflusses bei Abietineen.,Pharmakognosie,,de,,,1901,Universität Bern,PH D 359 P,true,IMG,,,true,true,true,,,,,"gut,leicht vergilbt",,true,,,46,0,0,,,,,,,,,,,0,,,2026-02-23 11:57:39+00:00,2026-03-30 12:33:09+00:00
